"","tm","attendance","attend_per_game","batage","page","bpf","ppf","n_hof","n_aallstars","n_a_ta_s","est_payroll","time","managers","year","g","w","wins_losses"
"1","BOS",1344080,17456,"29.9","27.9","110","108","2","5","17",315750,"2:25","McCarthy and O'Neill",1950,154,94,0.61
"2","BRO",1185896,15204,"27.6","26.6","103","99","4","7","13",NA,"2:29","Shotton",1950,155,89,0.578
"3","BSN",944391,11954,"29.3","28.6","94","93","1","2","16",NA,"2:17","Southworth",1950,156,83,0.539
"4","CHC",1165944,14948,"27.5","28.5","99","101","0","3","11",NA,"2:16","Frisch",1950,154,64,0.418
"5","CHW",781330,9890,"28.5","28.2","97","98","2","1","11",NA,"2:22","Onslow and Corriden",1950,156,60,0.39
"6","CIN",538794,7089,"27.5","27.8","100","102","0","2","10",NA,"2:20","Sewell",1950,153,66,0.431
"7","CLE",1727464,22435,"29.2","29.7","96","94","6","4","17",230200,"2:28","Boudreau",1950,155,92,0.597
"8","DET",1951474,24092,"28.2","28.5","103","102","2","4","14",191000,"2:19","Rolfe",1950,157,95,0.617
"9","NYG",1008878,13275,"27.1","29.3","101","99","1","2","14",NA,"2:27","Durocher",1950,154,86,0.558
"10","NYY",2081380,27031,"29.2","30.6","97","94","5","8","22",315750,"2:30","Stengel",1950,155,98,0.636
"11","PHA",309805,4023,"31.2","26.8","98","99","0","1","10",131000,"2:17","Mack",1950,154,52,0.338
"12","PHI",1217035,15603,"26.5","26.3","98","97","2","4","13",NA,"2:18","Sawyer",1950,157,91,0.591
"13","PIT",1166267,15146,"28.6","28.1","103","105","1","1","11",NA,"2:20","Meyer",1950,154,57,0.372
"14","SLB",247131,3340,"25.5","27.0","104","108","0","1","5",NA,"2:22","Taylor",1950,154,58,0.377
"15","STL",1093411,14387,"29.1","31.0","104","103","3","4","16",NA,"2:19","Dyer",1950,153,78,0.51
"16","WSH",699697,8970,"28.5","30.8","95","98","0","1","11",NA,"2:20","Harris",1950,155,67,0.435
"17","BOS",1312282,17497,"30.1","27.5","110","108","3","5","15",294500,"2:27","O'Neill",1951,154,87,0.565
"18","BRO",1282628,16444,"28.5","27.2","102","99","5","7","15",NA,"2:30","Dressen",1951,158,97,0.618
"19","BSN",487475,6250,"30.0","28.0","93","93","1","2","14",NA,"2:18","Southworth and Holmes",1951,155,76,0.493
"20","CHC",894415,11616,"28.3","27.6","102","104","0","2","11",NA,"2:19","Frisch and Cavarretta",1951,155,62,0.403
"21","CHW",1328234,17029,"28.3","28.7","98","98","1","6","14",NA,"2:27","Richards",1951,155,81,0.526
"22","CIN",588268,7640,"28.1","29.3","101","103","0","2","9",NA,"2:18","Sewell",1951,155,68,0.442
"23","CLE",1704984,22143,"29.3","29.1","94","92","4","3","19",NA,"2:25","Lopez",1951,155,93,0.604
"24","DET",1132641,14710,"28.9","30.6","100","101","2","3","13",195500,"2:19","Rolfe",1951,154,73,0.474
"25","NYG",1059539,13584,"27.9","29.8","101","99","2","3","14",NA,"2:32","Durocher",1951,157,98,0.624
"26","NYY",1950107,25001,"28.6","30.8","96","93","5","4","23",305500,"2:29","Stengel",1951,154,98,0.636
"27","PHA",465469,5892,"31.0","27.8","101","103","0","2","10",123700,"2:22","Dykes",1951,154,70,0.455
"28","PHI",937658,12177,"27.6","28.2","98","97","2","4","11",NA,"2:20","Sawyer",1951,154,73,0.474
"29","PIT",980590,12572,"28.0","28.9","102","106","1","1","12",NA,"2:23","Meyer",1951,155,64,0.416
"30","SLB",293790,3815,"27.0","27.7","103","107","1","1","7",NA,"2:22","Taylor",1951,154,52,0.338
"31","STL",1013429,12828,"29.5","29.5","100","100","3","4","14",NA,"2:19","Marion",1951,155,81,0.526
"32","WSH",695167,9147,"28.7","31.3","98","100","0","1","12",NA,"2:18","Harris",1951,154,62,0.403
"33","BOS",1115750,14490,"27.8","29.5","107","107","3","2","21",299500,"2:30","Boudreau",1952,154,76,0.493
"34","BRO",1088704,13609,"29.2","27.1","102","98","5","7","15",NA,"2:35","Dressen",1952,155,96,0.627
"35","BSN",281278,3653,"28.7","28.8","97","97","2","1","12",NA,"2:17","Holmes and Grimm",1952,155,64,0.418
"36","CHC",1024826,13309,"28.6","28.2","101","103","0","3","7",NA,"2:20","Cavarretta",1952,155,77,0.5
"37","CHW",1231675,15591,"28.6","29.1","101","99","1","3","11",NA,"2:31","Richards",1952,156,81,0.526
"38","CIN",604197,7847,"28.0","28.4","99","100","0","1","15",NA,"2:21","Sewell, Brucker and Hornsby",1952,154,69,0.448
"39","CLE",1444607,18761,"29.8","30.6","93","91","4","7","19",176250,"2:30","Lopez",1952,155,93,0.604
"40","DET",1026846,13336,"29.0","28.9","100","103","2","1","15",NA,"2:20","Rolfe and Hutchinson",1952,156,50,0.325
"41","NYG",984940,12791,"27.8","31.0","101","99","3","7","16",NA,"2:33","Durocher",1952,154,92,0.597
"42","NYY",1629665,21164,"27.8","30.9","94","90","4","7","21",NA,"2:34","Stengel",1952,154,95,0.617
"43","PHA",627100,8040,"31.0","28.6","106","107","0","3","7",NA,"2:24","Dykes",1952,155,79,0.513
"44","PHI",755417,9940,"27.8","27.8","99","98","2","3","13",NA,"2:22","Sawyer and O'Neill",1952,154,87,0.565
"45","PIT",686673,8918,"26.2","27.8","102","106","1","1","10",NA,"2:22","Meyer",1952,155,42,0.273
"46","SLB",518796,6651,"27.6","31.0","102","106","1","1","9",NA,"2:27","Hornsby and Marion",1952,155,64,0.416
"47","STL",913113,11859,"30.4","28.1","100","99","3","4","16",NA,"2:26","Stanky",1952,154,88,0.571
"48","WSH",699457,8967,"28.5","31.8","97","97","0","2","18",NA,"2:22","Harris",1952,157,78,0.506
"49","BOS",1026133,13502,"26.6","29.6","104","104","2","4","12",NA,"2:30","Boudreau",1953,153,84,0.549
"50","BRO",1163419,14916,"29.0","27.3","103","100","5","6","13",196500,"2:33","Dressen",1953,155,105,0.682
"51","CHC",763658,9918,"29.4","28.9","102","104","2","2","11",NA,"2:24","Cavarretta",1953,155,65,0.422
"52","CHW",1191353,15274,"29.3","30.0","103","100","1","5","15",NA,"2:32","Richards",1953,156,89,0.578
"53","CIN",548086,7027,"27.2","28.2","100","101","0","2","12",NA,"2:21","Hornsby and Mills",1953,155,68,0.442
"54","CLE",1069176,13707,"29.5","30.6","97","93","4","4","18",169700,"2:28","Lopez",1953,155,92,0.597
"55","DET",884658,11198,"28.5","26.7","98","101","2","1","16",NA,"2:25","Hutchinson",1953,158,60,0.39
"56","MLN",1826397,23119,"27.5","28.1","94","92","2","3","15",NA,"2:21","Grimm",1953,157,92,0.597
"57","NYG",811518,10539,"28.3","30.4","103","101","2","3","14",NA,"2:31","Durocher",1953,155,70,0.455
"58","NYY",1537811,19972,"28.4","31.0","96","92","5","7","19",NA,"2:34","Stengel",1953,151,99,0.656
"59","PHA",362113,4642,"30.2","28.9","103","107","0","2","9",NA,"2:23","Dykes",1953,157,59,0.383
"60","PHI",853644,10944,"27.8","28.3","100","98","2","4","14",NA,"2:22","O'Neill",1953,156,83,0.539
"61","PIT",572757,7438,"26.8","28.6","99","104","1","1","8",NA,"2:26","Haney",1953,154,50,0.325
"62","SLB",297238,3860,"28.3","31.0","102","105","1","2","11",NA,"2:24","Marion",1953,154,54,0.351
"63","STL",880242,11285,"29.2","28.3","100","99","3","6","14",NA,"2:31","Stanky",1953,157,83,0.539
"64","WSH",595594,7941,"28.6","30.9","97","97","0","1","13",NA,"2:18","Harris",1953,152,76,0.5
"65","BAL",1060910,13778,"29.8","28.2","92","96","0","1","9",NA,"2:23","Dykes",1954,154,54,0.351
"66","BOS",931127,11786,"27.0","27.3","111","111","2","2","16",NA,"2:33","Boudreau",1954,156,69,0.448
"67","BRO",1020531,13254,"29.6","27.7","104","101","6","6","16",NA,"2:39","Alston",1954,154,92,0.597
"68","CHC",748183,9717,"29.5","28.2","101","103","2","1","9",NA,"2:31","Hack",1954,154,64,0.416
"69","CHW",1231629,15790,"29.2","30.5","104","101","2","9","15",NA,"2:32","Richards and Marion",1954,155,94,0.61
"70","CIN",704167,9145,"27.0","28.3","102","103","0","2","9",NA,"2:32","Tebbetts",1954,154,74,0.48
"71","CLE",1335472,17344,"30.2","30.5","102","99","5","5","16",186050,"2:31","Lopez",1954,156,111,0.721
"72","DET",1079847,14024,"25.7","27.2","99","100","1","2","14",NA,"2:22","Hutchinson",1954,155,68,0.442
"73","MLN",2131388,27680,"26.5","27.4","94","92","3","4","13",NA,"2:32","Grimm",1954,154,89,0.578
"74","NYG",1155067,15198,"28.3","29.9","101","100","3","5","14",NA,"2:34","Durocher",1954,154,97,0.63
"75","NYY",1475171,18912,"28.5","29.7","97","93","5","6","21",NA,"2:36","Stengel",1954,155,103,0.669
"76","PHA",304666,3957,"28.4","27.7","101","105","0","1","7",NA,"2:25","Joost",1954,156,51,0.331
"77","PHI",738991,9474,"28.2","28.7","100","99","2","3","11",NA,"2:30","O'Neill and Moore",1954,154,75,0.487
"78","PIT",475494,6175,"26.2","27.3","98","102","0","1","9",NA,"2:28","Haney",1954,154,53,0.344
"79","STL",1039698,13503,"28.2","30.0","100","101","2","4","13",NA,"2:39","Stanky",1954,154,72,0.468
"80","WSH",503542,6456,"28.5","27.5","95","96","1","3","14",NA,"2:22","Harris",1954,155,66,0.429
"81","BAL",852039,10785,"29.3","30.6","92","95","1","1","11",NA,"2:33","Richards",1955,156,57,0.37
"82","BOS",1203200,15426,"27.7","26.6","109","109","1","3","12",NA,"2:34","Higgins",1955,154,84,0.545
"83","BRO",1033589,13423,"29.8","26.2","104","101","6","4","16",NA,"2:34","Alston",1955,154,98,0.64
"84","CHC",875800,11374,"28.5","29.7","100","102","1","4","9",NA,"2:27","Hack",1955,154,72,0.471
"85","CHW",1175684,15269,"30.0","30.8","102","99","2","5","18",NA,"2:35","Marion",1955,155,91,0.591
"86","CIN",693662,9009,"27.8","28.4","105","104","0","3","11",NA,"2:28","Tebbetts",1955,154,75,0.487
"87","CLE",1221780,15867,"30.5","29.8","104","101","6","6","27",240000,"2:37","Lopez",1955,154,93,0.604
"88","DET",1181838,15349,"26.8","27.0","98","98","2","3","11",NA,"2:32","Harris",1955,154,79,0.513
"89","KCA",1393054,18330,"28.7","28.1","100","105","1","2","12",NA,"2:31","Boudreau",1955,155,63,0.409
"90","MLN",2005836,26050,"27.2","27.2","96","93","3","5","14",NA,"2:30","Grimm",1955,154,85,0.552
"91","NYG",824112,10432,"28.6","29.7","101","101","3","2","13",216000,"2:35","Durocher",1955,154,80,0.519
"92","NYY",1490138,19352,"28.0","27.5","99","95","5","4","24",NA,"2:40","Stengel",1955,154,96,0.623
"93","PHI",922886,11986,"28.9","28.6","98","98","2","3","12",NA,"2:32","Smith",1955,154,77,0.5
"94","PIT",469397,6259,"25.5","26.8","98","101","1","1","10",NA,"2:23","Haney",1955,154,60,0.39
"95","STL",849130,11028,"28.1","27.2","99","100","2","4","14",NA,"2:32","Stanky and Walker",1955,154,68,0.442
"96","WSH",425238,5523,"27.5","26.1","96","99","1","1","14",NA,"2:29","Dressen",1955,154,53,0.344
"97","BAL",901201,11704,"28.2","30.0","91","93","3","1","12",NA,"2:31","Richards",1956,154,69,0.448
"98","BOS",1137158,14579,"28.3","27.4","112","111","1","5","12",NA,"2:34","Higgins",1956,155,84,0.545
"99","BRO",1213562,15761,"31.0","28.2","109","106","7","4","20",NA,"2:32","Alston",1956,154,93,0.604
"100","CHC",720118,9001,"28.4","28.8","99","101","2","1","8",NA,"2:29","Hack",1956,157,60,0.39
"101","CHW",1000090,12988,"30.2","31.5","101","98","4","4","16",NA,"2:37","Marion",1956,154,85,0.552
"102","CIN",1125928,14622,"27.7","29.5","105","104","1","8","14",NA,"2:30","Tebbetts",1956,155,91,0.591
"103","CLE",865467,11240,"30.0","30.6","102","101","3","3","23",NA,"2:34","Lopez",1956,155,88,0.571
"104","DET",1051182,13477,"27.2","28.0","101","100","2","4","13",NA,"2:33","Harris",1956,155,82,0.532
"105","KCA",1015154,13184,"28.7","28.7","100","104","2","2","9",NA,"2:31","Boudreau",1956,154,52,0.338
"106","MLN",2046331,26576,"27.5","28.6","94","92","3","4","14",NA,"2:29","Grimm and Haney",1956,155,92,0.597
"107","NYG",629179,8171,"27.5","29.4","99","100","3","2","14",NA,"2:30","Rigney",1956,154,67,0.435
"108","NYY",1491784,19374,"28.1","26.4","97","93","5","6","26",222750,"2:42","Stengel",1956,154,97,0.63
"109","PHI",934798,12140,"29.5","28.5","98","98","2","2","13",NA,"2:31","Smith",1956,154,71,0.461
"110","PIT",949878,12178,"25.2","26.8","97","99","2","2","16",NA,"2:26","Bragan",1956,157,66,0.429
